reading file output.json
+------------------------------------------------------+--------------+
| JavaFile                                             | BackendCalls |
| TQGIS.view.reinsurance.currentAllocationDAO          |      5       |
| TQGIS.view.reinsurance.GroupReinsuranceDAO           |      5       |
| TQGIS.view.quotations.QuotationProcessing            |      5       |
| TQGIS.view.policies.PolicyTransaction                |      5       |
| TQGIS.view.policies.PolicyDAOFacade                  |      5       |
| TQGIS.view.base.Util                                 |      5       |
| TQGIS.view.backing.TravelBack                        |      5       |
| TQGIS.view.BPM.BpmWebService                         |      5       |
| TQGIS.view.setup.ParameterBacking                    |      4       |
| TQGIS.view.setup.EventBacking                        |      4       |
| TQGIS.view.setup.BaseClaimBacking                    |      4       |
| TQGIS.view.roles.impl.AccessRolesImpl                |      4       |
| TQGIS.view.reinsurance.BaseReinsuranceBacking        |      4       |
| TQGIS.view.quotations.viewQuotation                  |      4       |
| TQGIS.view.navigation.Links                          |      4       |
| TQGIS.view.errors.ErrorListener                      |      4       |
| TQGIS.view.certificates.RiskBacking                  |      4       |
| TQGIS.view.certificates.CertificationAllocation      |      4       |
| TQGIS.view.accounts.TravelBacking                    |      4       |
| TQGIS.view.accounts.LoadBalBacking                   |      4       |
| TQGIS.view.accounts.AllocationBackingNew             |      4       |
| TQGIS.view.UIComm.GlobalCC                           |      4       |
| TQGIS.view.Reports.StatementDAO                      |      4       |
| TQGIS.view.Reports.ReportQuery                       |      4       |
| TQGIS.view.ClientDetails.ClientsDAO1                 |      4       |
| TQGIS.view.utilities.ParameterFinder                 |      3       |
| TQGIS.view.setup.RoadConditionsBacking               |      3       |
| TQGIS.view.setup.OtherSetupsManip                    |      3       |
| TQGIS.view.setup.ClaimCauseBacking                   |      3       |
| TQGIS.view.setup.AdminFeeDAO                         |      3       |
| TQGIS.view.sections.RiskSectionsDAO                  |      3       |
| TQGIS.view.renewals.RenewalDAO                       |      3       |
| TQGIS.view.policies.ProductPDAO                      |      3       |
| TQGIS.view.policies.PaRenewalsManipulation           |      3       |
| TQGIS.view.policies.EditPolicyDetails                |      3       |
| TQGIS.view.policies.BinderRenewalManip               |      3       |
| TQGIS.view.claim.ClaimsSchedulesBack                 |      3       |
| TQGIS.view.claim.ClaimantBacking                     |      3       |
| TQGIS.view.accounts.PremCardBacking                  |      3       |
| TQGIS.view.ClientDetails.ProspectDAO                 |      3       |
| TQGIS.view.ClientDetails.BaseClientBackingBean1      |      3       |
| TQGIS.view.utils.AuthenticationUtils                 |      2       |
| TQGIS.view.utilities.systemsManipulation             |      2       |
| TQGIS.view.utilities.PsvBacking                      |      2       |
| TQGIS.view.utilities.FileMoveBack                    |      2       |
| TQGIS.view.utilities.EmailUtilities                  |      2       |
| TQGIS.view.usetup.PreDebitBack                       |      2       |
| TQGIS.view.usetup.BusinessIntroducerBack             |      2       |
| TQGIS.view.setup.TaxRateBacking                      |      2       |
| TQGIS.view.setup.CausationBacking                    |      2       |
| TQGIS.view.sections.Section                          |      2       |
